MUNI_ID,Housing + Transportation as a % of Income (Local),Municipality,Average Annual Median Income,Average Annual Housing Costs,Average Annual Transportation Costs,Housing as a % of Income (Local),Transportation as a % of Income (Local),Municipality
1,55.2173,Abington,73356.91,25335.6,14608.7,34.8365,20.3808,Abington
2,43.1929,Acton,109084.77,31453.56,14991.46,29.1558,14.0372,Acton
3,54.2384,Acushnet,66424.69,20550,14698.52,31.6599,22.5786,Acushnet
7,52.4059,Amesbury,68755.61,21951.96,13458.39,32.1794,20.2265,Amesbury
9,57.933,Andover,94862.63,37746.48,14562.12,41.6165,16.3165,Andover
10,48.0222,Arlington,73556.71,24240.48,10071.43,33.7735,14.2487,Arlington
11,53.2469,Ashburnham,72866.94,21672.12,16699.48,30.0108,23.2361,Ashburnham
12,49.192,Ashby,79153.05,21611.16,17326.72,27.3025,21.8896,Ashby
14,46.6438,Ashland,92820.45,28095.36,14300.14,30.7816,15.8622,Ashland
16,49.2965,Attleboro,68634.92,20017.8,13255.53,29.5502,19.7463,Attleboro
17,49.1068,Auburn,69533.23,19967.4,13709.26,29.1031,20.0037,Auburn
18,57.0237,Avon,68121.83,24415.2,13657.58,36.5976,20.4261,Avon
19,50.8556,Ayer,60993.88,17682.12,12829.75,29.2249,21.6307,Ayer
21,52.5339,Barre,63831.76,18375.84,15268.8,28.6539,23.88,Barre
23,41.75,Bedford,106951.29,30050.52,14034.84,28.1981,13.5519,Bedford
25,46.0527,Bellingham,84954.97,23315.64,15359.46,27.7204,18.3324,Bellingham
26,47.9949,Belmont,94304.41,33527.4,11030.1,35.7007,12.2941,Belmont
27,51.0779,Berkley,83026.52,25008.36,17325.29,30.1679,20.9099,Berkley
28,51.3482,Berlin,83391.91,27273.36,15611.05,32.6103,18.7379,Berlin
30,50.8003,Beverly,69726.62,22343.88,12209.21,32.5571,18.2431,Beverly
31,47.5859,Billerica,83451.88,24881.76,14600.19,29.9345,17.6514,Billerica
32,50.9774,Blackstone,68934.8,19400.64,14424.02,29.0852,21.8922,Blackstone
34,48.167,Bolton,124637.28,42121.2,17084.28,34.3277,13.8394,Bolton
35,55.79,Boston,52938.47,19921.2,7012.5,41.0203,14.7697,Boston
37,41.6045,Boxborough,107827.69,28663.92,15213.16,26.6913,14.9132,Boxborough
38,47.0078,Boxford,138238.3,47977.08,16735.33,34.8213,12.1865,Boxford
39,47.0177,Boylston,88162.13,25374.48,15492.34,28.9239,18.0938,Boylston
40,49.0512,Braintree,77062.51,24730.92,12654.42,32.3058,16.7454,Braintree
42,49.2801,Bridgewater,81345.09,24582,14823.57,30.4836,18.7964,Bridgewater
44,62.3232,Brockton,53064.59,19362,11440.8,38.8463,23.4769,Brockton
45,56.9344,Brookfield,57248.69,17673,14601.32,30.9596,25.9748,Brookfield
46,44.3985,Brookline,87293.14,28561.56,8283.69,34.6485,9.75,Brookline
48,44.4159,Burlington,94344.02,27501.24,13737.46,29.7177,14.6981,Burlington
49,48.1751,Cambridge,61923.42,22131.36,6540.12,36.9095,11.2656,Cambridge
50,50.8997,Canton,86031.89,30187.68,13488.31,35.0518,15.848,Canton
51,40.9849,Carlisle,153733.86,46583.52,16300.14,30.3231,10.6618,Carlisle
52,65.5598,Carver,62221.44,23350.56,14757.42,40.4965,25.0634,Carver
54,46.1946,Charlton,85317.27,22270.2,16898.35,26.1627,20.0319,Charlton
56,48.191,Chelmsford,85884.23,26788.2,13913.02,31.5999,16.5911,Chelmsford
57,61.2961,Chelsea,39255.48,16376.04,6893.41,42.9716,18.3245,Chelsea
64,52.1413,Clinton,56424.74,16869.96,12408.98,29.9349,22.2064,Clinton
65,58.7042,Cohasset,100938.75,42237.96,14929.31,43.1248,15.5794,Cohasset
67,48.0892,Concord,113036.43,38193.6,14325.17,34.9077,13.1815,Concord
71,55.4551,Danvers,68869.54,25008.24,12904.78,36.3899,19.0652,Danvers
72,58.8148,Dartmouth,64610.86,21971.52,14210.38,35.6703,23.1446,Dartmouth
73,50.0228,Dedham,74069.09,24092.04,12451.33,32.6121,17.4107,Dedham
76,53.0716,Dighton,73029.97,22625.64,15994.22,31.1106,21.961,Dighton
77,49.0126,Douglas,81097.03,23345.04,16396.99,28.7543,20.2584,Douglas
78,40.3677,Dover,170817.95,50201.4,16362.14,30.3498,10.0179,Dover
79,49.5625,Dracut,72633.82,21764.76,13877.73,30.1614,19.4012,Dracut
80,52.8497,Dudley,64021.95,18662.88,14348.42,29.7382,23.1115,Dudley
81,48.3198,Dunstable,106695.48,33528.36,18011.73,31.4396,16.8802,Dunstable
82,46.5575,Duxbury,120786.57,40724.76,15668.47,33.508,13.0495,Duxbury
83,54.0921,East Bridgewater,74684,24979.2,15166.96,33.5977,20.4944,East Bridgewater
84,51.2211,East Brookfield,64733.28,17916.12,15255.04,27.6593,23.5618,East Brookfield
88,49.7139,Easton,88435.46,28252.68,15100.76,32.1258,17.5881,Easton
92,58.3962,Essex,74951.33,28777.8,14998.96,38.2996,20.0965,Essex
93,52.6782,Everett,51800.51,18425.28,8446.72,36.2068,16.4715,Everett
94,60.1479,Fairhaven,55268.2,19883.4,12413.21,36.9953,23.1527,Fairhaven
95,61.9815,Fall River,35050.68,11503.48,8976.96,34.5537,27.4278,Fall River
97,58.0195,Fitchburg,47452.66,15176.64,11322.22,32.8933,25.1262,Fitchburg
99,45.5374,Foxborough,91751.99,25985.28,14664.28,28.7295,16.8079,Foxborough
100,52.7589,Framingham,67194.64,21747.36,11544.97,33.8778,18.8811,Framingham
101,46.9608,Franklin,92384.06,27147,14852.86,30.0358,16.9249,Franklin
102,49.6581,Freetown,83235.39,24107.04,17092.55,29.0011,20.657,Freetown
103,54.0766,Gardner,49399.63,14610.36,11944.61,29.6213,24.4553,Gardner
105,52.6603,Georgetown,87708.34,28360.44,15787.88,33.6168,19.0435,Georgetown
107,56.6368,Gloucester,60659.72,21489.12,12152.39,35.6756,20.9613,Gloucester
110,49.0573,Grafton,77114.49,22886.64,14680.64,29.6442,19.4131,Grafton
115,49.3231,Groton,100487.66,32442.24,16584.9,32.5032,16.8199,Groton
116,51.372,Groveland,84339.59,27092.16,16172.52,32.1649,19.2071,Groveland
118,55.723,Halifax,73722.38,23820.24,14597.58,34.8158,20.9071,Halifax
119,57.2007,Hamilton,80702.93,30628.92,15342.18,38.0065,19.1942,Hamilton
122,54.0703,Hanover,90092.48,30739.08,15956.93,35.4302,18.6401,Hanover
123,53.319,Hanson,81419.51,26755.56,16000.28,33.3015,20.0175,Hanson
125,45.881,Harvard,135301.62,43633.68,16822.58,33.1755,12.7055,Harvard
128,53.4154,Haverhill,60494.23,19064.64,12170.23,32.3845,21.0309,Haverhill
131,52.3086,Hingham,99367.68,36717.24,14437.42,37.5114,14.7972,Hingham
133,51.8977,Holbrook,67436.11,21730.8,13184.56,32.223,19.6747,Holbrook
134,47.3309,Holden,87604.77,25446.72,15575.47,29.2962,18.0347,Holden
135,53.0181,Holland,69405.7,20526.48,16178.23,29.7058,23.3123,Holland
136,45.4998,Holliston,105519.27,31673.4,15950.11,30.1693,15.3305,Holliston
138,49.061,Hopedale,77324.96,23491.92,14134.73,30.6938,18.3672,Hopedale
139,48.0604,Hopkinton,119015.5,39555.72,16364.1,33.6503,14.4101,Hopkinton
141,48.2484,Hudson,75723.84,22148.28,13894.79,29.4214,18.827,Hudson
142,58.1167,Hull,63254.91,24037.92,12267.45,38.4247,19.6919,Hull
144,56.3236,Ipswich,73038.66,26475.6,14119.26,36.4477,19.8759,Ipswich
145,62.4285,Kingston,69105.82,28180.44,14469.1,41.134,21.2945,Kingston
146,49.8588,Lakeville,86329.7,25875.36,16471.65,30.4429,19.416,Lakeville
147,48.8759,Lancaster,78924.17,22758.72,15319.09,29.0753,19.8006,Lancaster
